Tract,YEAR STRUCTURE BUILT!!Total housing units,YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Avg Year Built - number,Avg Year Built,BEDROOMS!!Total housing units,BEDROOMS!!Total housing units!!No bedroom,BEDROOMS!!Total housing units!!1 bedroom,BEDROOMS!!Total housing units!!2 bedrooms,BEDROOMS!!Total housing units!!3 bedrooms,BEDROOMS!!Total housing units!!4 bedrooms,BEDROOMS!!Total housing units!!5 or more bedrooms,Avg Bed,,,,Number,Year Range
Census Tract 8014.08; Prince George's County; Maryland,"1,559",0,0,125,55,291,381,356,195,113,43,6,1970 to 1979,"1,559",50,148,749,514,98,0,2,,,,,
Census Tract 8014.09; Prince George's County; Maryland,"1,098",0,0,68,261,108,216,231,137,77,0,6,1970 to 1979,"1,098",0,264,84,228,460,62,3,,,,,
Census Tract 8014.10; Prince George's County; Maryland,"1,327",0,0,178,63,287,380,266,132,15,6,6,1970 to 1979,"1,327",0,0,50,404,585,288,4,,,,,
Census Tract 8014.11; Prince George's County; Maryland,"1,112",0,9,113,134,222,398,163,62,0,11,6,1970 to 1979,"1,112",0,0,51,234,578,249,4,,,,,
Census Tract 8015; Prince George's County; Maryland,792,0,0,0,16,17,10,87,471,174,17,8,1950 to 1959,792,0,13,80,386,266,47,3,,,,,
Census Tract 8016; Prince George's County; Maryland,"1,325",0,40,7,325,126,119,203,322,122,61,6,1970 to 1979,"1,325",34,285,506,383,117,0,2,,,,,
Census Tract 8017.01; Prince George's County; Maryland,"1,896",0,35,0,71,323,456,500,333,59,119,7,1960 to 1969,"1,896",42,303,501,589,334,127,3,,,,,
Census Tract 8017.02; Prince George's County; Maryland,"2,049",0,112,68,602,343,378,288,215,11,32,5,1980 to 1989,"2,049",46,632,940,305,89,37,2,,,,,
Census Tract 8017.04; Prince George's County; Maryland,"2,498",0,29,204,325,324,518,505,181,0,412,6,1970 to 1979,"2,498",243,894,615,487,199,60,2,,,,,
Census Tract 8017.07; Prince George's County; Maryland,"2,551",0,0,0,631,176,701,622,393,28,0,6,1970 to 1979,"2,551",0,584,875,787,231,74,2,,,,,
Census Tract 8017.09; Prince George's County; Maryland,"2,088",0,163,48,182,262,575,475,331,48,4,6,1970 to 1979,"2,088",53,330,499,726,355,125,3,,,,,
Census Tract 8018.01; Prince George's County; Maryland,888,0,17,22,110,85,167,170,249,64,4,6,1970 to 1979,888,6,307,191,170,204,10,2,,,,,
Census Tract 8018.02; Prince George's County; Maryland,"1,940",0,0,9,61,62,242,517,899,137,13,7,1960 to 1969,"1,940",6,280,783,785,86,0,2,,,,,
Census Tract 8018.07; Prince George's County; Maryland,"2,340",0,0,99,56,184,485,858,410,226,22,7,1960 to 1969,"2,340",101,697,332,580,255,375,3,,,,,
Census Tract 8018.08; Prince George's County; Maryland,"1,614",0,0,124,147,225,145,551,335,76,11,6,1970 to 1979,"1,614",45,264,731,371,124,79,2,,,,,
Census Tract 8018.09; Prince George's County; Maryland,"2,156",54,0,0,146,25,410,465,800,184,72,7,1960 to 1969,"2,156",169,467,200,878,369,73,2,,,,,
Census Tract 8019.01; Prince George's County; Maryland,"1,761",0,0,25,234,104,108,882,388,14,6,7,1960 to 1969,"1,761",0,33,75,615,699,339,4,,,,,
Census Tract 8019.04; Prince George's County; Maryland,"1,381",0,45,53,34,24,118,654,206,196,51,7,1960 to 1969,"1,381",0,233,177,488,329,154,3,,,,,
Census Tract 8019.05; Prince George's County; Maryland,"3,230",0,745,875,447,376,131,410,202,44,0,4,1990 to 1999,"3,230",67,677,918,772,658,138,3,,,,,
Census Tract 8019.06; Prince George's County; Maryland,829,0,36,37,0,12,88,144,191,258,63,8,1950 to 1959,829,14,45,367,254,121,28,3,,,,,
Census Tract 8019.07; Prince George's County; Maryland,"1,982",0,136,160,541,224,262,413,193,11,42,5,1980 to 1989,"1,982",70,584,433,660,183,52,2,,,,,
Census Tract 8019.08; Prince George's County; Maryland,"1,495",0,0,50,91,202,225,368,371,45,143,7,1960 to 1969,"1,495",98,552,498,271,70,6,2,,,,,
Census Tract 8020.01; Prince George's County; Maryland,"2,256",0,0,0,411,460,553,558,67,204,3,6,1970 to 1979,"2,256",86,590,917,490,173,0,2,,,,,
Census Tract 8020.02; Prince George's County; Maryland,"1,776",53,8,282,650,90,221,169,169,97,37,5,1980 to 1989,"1,776",8,8,398,"1,149",177,36,3,,,,,
Census Tract 8021.03; Prince George's County; Maryland,"1,122",0,57,95,216,65,101,66,313,152,57,6,1970 to 1979,"1,122",0,12,23,774,171,142,3,,,,,
Census Tract 8021.04; Prince George's County; Maryland,"1,059",0,0,10,46,28,286,354,146,189,0,7,1960 to 1969,"1,059",0,326,399,184,135,15,2,,,,,
Census Tract 8021.06; Prince George's County; Maryland,"2,155",0,42,202,265,350,220,563,416,97,0,6,1970 to 1979,"2,155",118,326,709,627,289,86,2,,,,,
Census Tract 8021.07; Prince George's County; Maryland,"1,653",0,0,0,141,285,417,568,112,88,42,6,1970 to 1979,"1,653",64,293,659,514,99,24,2,,,,,
Census Tract 8022.01; Prince George's County; Maryland,"1,954",128,914,24,118,167,400,61,10,81,51,4,1990 to 1999,"1,954",8,24,662,808,316,136,3,,,,,
Census Tract 8022.03; Prince George's County; Maryland,"1,864",0,0,48,123,54,318,797,331,74,119,7,1960 to 1969,"1,864",79,160,296,663,575,91,3,,,,,
Census Tract 8022.04; Prince George's County; Maryland,"2,121",0,0,188,416,325,245,832,102,0,13,6,1970 to 1979,"2,121",0,0,64,901,633,523,4,,,,,
Census Tract 8023.01; Prince George's County; Maryland,"1,168",4,24,0,7,59,43,201,533,234,63,8,1950 to 1959,"1,168",0,24,52,413,549,130,4,,,,,
Census Tract 8024.04; Prince George's County; Maryland,"1,871",0,0,75,410,233,444,419,44,169,77,6,1970 to 1979,"1,871",87,435,652,583,96,18,2,,,,,
Census Tract 8024.05; Prince George's County; Maryland,"1,853",0,0,162,264,74,396,538,363,39,17,6,1970 to 1979,"1,853",0,480,643,560,129,41,2,,,,,
Census Tract 8024.06; Prince George's County; Maryland,"1,076",0,0,24,168,66,292,180,306,24,16,6,1970 to 1979,"1,076",20,201,378,313,124,40,2,,,,,
Census Tract 8024.07; Prince George's County; Maryland,"2,171",0,0,90,257,263,640,525,215,93,88,6,1970 to 1979,"2,171",247,897,666,291,65,5,2,,,,,
Census Tract 8024.08; Prince George's County; Maryland,"1,166",0,59,25,131,157,353,218,129,61,33,6,1970 to 1979,"1,166",140,443,216,262,79,26,2,,,,,
Census Tract 8025.01; Prince George's County; Maryland,"1,338",16,53,0,144,94,83,492,241,83,132,7,1960 to 1969,"1,338",0,187,630,320,168,33,2,,,,,
Census Tract 8025.02; Prince George's County; Maryland,922,0,20,11,176,52,146,59,127,210,121,7,1960 to 1969,922,0,12,125,284,338,163,4,,,,,
Census Tract 8026; Prince George's County; Maryland,"1,357",0,5,56,69,156,142,272,342,141,174,7,1960 to 1969,"1,357",0,79,344,621,264,49,3,,,,,
Census Tract 8027; Prince George's County; Maryland,959,0,60,62,65,78,55,92,281,136,130,7,1960 to 1969,959,15,82,156,437,231,38,3,,,,,
Census Tract 8028.03; Prince George's County; Maryland,"2,451",25,310,315,298,212,378,315,217,254,127,6,1970 to 1979,"2,451",36,500,404,"1,034",257,220,3,,,,,
Census Tract 8028.04; Prince George's County; Maryland,"2,080",0,17,111,296,396,446,388,180,215,31,6,1970 to 1979,"2,080",0,120,200,"1,295",429,36,3,,,,,
Census Tract 8028.05; Prince George's County; Maryland,"1,949",0,170,171,373,52,313,582,211,67,10,6,1970 to 1979,"1,949",0,49,90,"1,140",616,54,3,,,,,
Census Tract 8029.01; Prince George's County; Maryland,"1,773",0,0,6,129,140,105,323,626,162,282,8,1950 to 1959,"1,773",0,246,386,616,485,40,3,,,,,
Census Tract 8030.01; Prince George's County; Maryland,"1,243",0,40,78,204,238,76,125,164,130,188,6,1970 to 1979,"1,243",4,21,420,485,295,18,3,,,,,
Census Tract 8030.02; Prince George's County; Maryland,"1,103",0,0,17,91,136,147,421,217,26,48,7,1960 to 1969,"1,103",0,34,184,822,63,0,3,,,,,
Census Tract 8031; Prince George's County; Maryland,"1,236",0,0,34,47,113,86,180,290,287,199,8,1950 to 1959,"1,236",0,108,362,426,321,19,3,,,,,
Census Tract 8032; Prince George's County; Maryland,"1,175",0,0,17,130,263,233,307,144,64,17,6,1970 to 1979,"1,175",51,232,496,193,165,38,2,,,,,
Census Tract 8033; Prince George's County; Maryland,"1,773",0,0,84,148,60,320,384,536,157,84,7,1960 to 1969,"1,773",0,102,456,833,297,85,3,,,,,
Census Tract 8034.03; Prince George's County; Maryland,"2,408",0,52,200,197,472,172,370,772,124,49,6,1970 to 1979,"2,408",8,250,641,"1,314",174,21,3,,,,,
Census Tract 8035.08; Prince George's County; Maryland,"1,155",22,98,55,161,255,240,237,60,27,0,5,1980 to 1989,"1,155",37,168,268,403,255,24,3,,,,,
Census Tract 8035.09; Prince George's County; Maryland,"1,409",0,273,254,75,125,121,360,63,85,53,5,1980 to 1989,"1,409",137,93,667,431,71,10,2,,,,,
Census Tract 8035.12; Prince George's County; Maryland,"2,603",70,0,629,252,675,815,70,10,42,40,5,1980 to 1989,"2,603",83,337,371,549,988,275,3,,,,,
Census Tract 8035.13; Prince George's County; Maryland,"2,561",0,0,445,145,875,"1,027",51,18,0,0,5,1980 to 1989,"2,561",136,629,678,845,159,114,2,,,,,
Census Tract 8035.14; Prince George's County; Maryland,"2,964",0,819,369,"1,358",409,9,0,0,0,0,3,2000 to 2009,"2,964",168,304,"1,608",630,201,53,2,,,,,
Census Tract 8035.16; Prince George's County; Maryland,"1,680",0,65,428,356,672,66,82,0,11,0,4,1990 to 1999,"1,680",0,13,136,728,624,179,3,,,,,
Census Tract 8035.19; Prince George's County; Maryland,"2,810",7,318,926,427,400,396,120,82,9,125,4,1990 to 1999,"2,810",110,520,494,"1,133",493,60,3,,,,,
Census Tract 8035.20; Prince George's County; Maryland,"1,715",0,0,118,683,482,358,31,26,0,17,5,1980 to 1989,"1,715",7,0,8,261,"1,023",416,4,,,,,
Census Tract 8035.21; Prince George's County; Maryland,"2,937",16,793,"1,126",410,346,61,33,108,44,0,3,2000 to 2009,"2,937",38,163,342,738,944,712,4,,,,,
Census Tract 8035.24; Prince George's County; Maryland,"1,804",0,50,322,499,434,466,9,24,0,0,5,1980 to 1989,"1,804",0,0,120,"1,124",457,103,3,,,,,
Census Tract 8035.25; Prince George's County; Maryland,"1,070",0,13,33,142,135,203,239,153,64,88,6,1970 to 1979,"1,070",22,293,465,242,48,0,2,,,,,
Census Tract 8035.26; Prince George's County; Maryland,"1,419",0,0,0,569,500,98,230,12,0,10,5,1980 to 1989,"1,419",0,34,302,640,394,49,3,,,,,
Census Tract 8035.27; Prince George's County; Maryland,"1,317",0,0,0,134,648,315,198,9,13,0,5,1980 to 1989,"1,317",0,0,57,552,598,110,4,,,,,
Census Tract 8035.28; Prince George's County; Maryland,"2,660",0,30,230,"1,157","1,037",147,33,9,0,17,4,1990 to 1999,"2,660",38,66,133,762,"1,255",406,4,,,,,
Census Tract 8036.01; Prince George's County; Maryland,"1,203",0,0,25,324,143,74,299,314,12,12,6,1970 to 1979,"1,203",0,0,10,593,518,82,4,,,,,
Census Tract 8036.02; Prince George's County; Maryland,792,21,0,36,41,57,133,365,139,0,0,6,1970 to 1979,792,7,40,167,393,153,32,3,,,,,
Census Tract 8036.05; Prince George's County; Maryland,"2,192",0,67,62,84,178,229,965,441,91,75,7,1960 to 1969,"2,192",84,0,203,821,656,428,3,,,,,
Census Tract 8036.06; Prince George's County; Maryland,"1,419",0,22,0,62,106,165,670,364,30,0,7,1960 to 1969,"1,419",20,0,23,463,585,328,4,,,,,
Census Tract 8036.07; Prince George's County; Maryland,"1,125",0,28,106,314,34,210,233,99,101,0,6,1970 to 1979,"1,125",0,0,41,384,308,392,4,,,,,
Census Tract 8036.08; Prince George's County; Maryland,"1,890",0,0,0,182,233,272,738,277,69,119,7,1960 to 1969,"1,890",0,90,169,741,513,377,3,,,,,
Census Tract 8036.10; Prince George's County; Maryland,"1,180",0,46,17,3,154,132,611,192,19,6,7,1960 to 1969,"1,180",8,191,164,447,295,75,3,,,,,
Census Tract 8036.12; Prince George's County; Maryland,"1,554",0,325,0,81,208,297,424,36,167,16,6,1970 to 1979,"1,554",138,479,555,287,70,25,2,,,,,
Census Tract 8036.13; Prince George's County; Maryland,"2,815",0,0,170,409,157,474,978,434,174,19,6,1970 to 1979,"2,815",83,752,"1,160",640,109,71,2,,,,,
